Epoch,Training Cost,Training Accuracy,Evaluation Cost,Evaluation Accuracy
345,0.0009499305,0.99854,0.0184487996,0.9811
346,0.0009496296,0.99854,0.018461195,0.98116
347,0.0009490159,0.99854,0.0184618176,0.98114
348,0.000948576,0.99854,0.0184594549,0.98126
349,0.0009482084,0.99854,0.0184684609,0.98112
350,0.0009476411,0.99854,0.0184598302,0.98114
351,0.0009471765,0.99854,0.0184564008,0.98126
352,0.0009467785,0.998548,0.0184681958,0.98124
353,0.0009463116,0.998544,0.0184784558,0.9811
354,0.000945412,0.998552,0.0184736827,0.98116
355,0.0009442083,0.998552,0.0184732068,0.98118
356,0.0009436799,0.998552,0.018465135,0.98122
357,0.0009429984,0.998552,0.0184785894,0.98116
358,0.0009425625,0.998552,0.0184778734,0.98118
359,0.0009419459,0.998552,0.018494111,0.9812
360,0.0009409951,0.998556,0.0184858674,0.98132
361,0.0009399464,0.998556,0.0184894429,0.98118
362,0.0009388745,0.998556,0.0184919818,0.98114
363,0.0009378453,0.998556,0.0185086795,0.98122
364,0.0009369333,0.998556,0.018492267,0.98116
365,0.0009362516,0.998556,0.0185043243,0.98126
366,0.0009356526,0.998556,0.0185064867,0.98114
367,0.0009352592,0.998556,0.0185113767,0.98114
368,0.0009347627,0.998556,0.0185079354,0.98126
369,0.0009344007,0.998556,0.0184970811,0.98108
370,0.000933849,0.998556,0.0185106231,0.98104
371,0.0009334903,0.998556,0.0185091249,0.98114
372,0.0009330586,0.998556,0.0184997356,0.98114
373,0.000932809,0.998556,0.0185170854,0.98116
374,0.0009323709,0.998556,0.0185020069,0.98112
375,0.0009321212,0.998556,0.0185170775,0.98116
376,0.0009317157,0.998556,0.0185114147,0.98124
377,0.0009313655,0.998556,0.0185120229,0.98118
378,0.000931179,0.998556,0.0185259807,0.98112
379,0.0009306798,0.998556,0.0185203461,0.9812
380,0.0009303324,0.998556,0.0185096937,0.9812
381,0.0009298274,0.998564,0.0185201043,0.98116
382,0.0009295494,0.998564,0.018529441,0.98112
383,0.0009290277,0.998564,0.0185248671,0.98108
384,0.0009285217,0.998564,0.0185272116,0.98124
385,0.0009276516,0.998564,0.0185351232,0.98124
386,0.0009262262,0.998564,0.018542229,0.9812
387,0.0009251775,0.998564,0.0185319888,0.98128
388,0.0009245862,0.998564,0.0185380207,0.98128
389,0.0009242577,0.998564,0.0185414087,0.9812
390,0.0009239363,0.998564,0.018531734,0.98118
391,0.0009234585,0.998572,0.0185355532,0.9813
392,0.0009231388,0.998572,0.0185390336,0.98124
393,0.000922681,0.998572,0.0185427528,0.98116
394,0.0009222517,0.998572,0.018539004,0.98112
395,0.000921785,0.998572,0.0185468846,0.98116
396,0.0009211521,0.998572,0.0185373663,0.9813
397,0.0009202922,0.998572,0.0185399653,0.98122
398,0.000919887,0.998572,0.0185618373,0.98112
399,0.000919475,0.998572,0.0185562411,0.9811
